analysis_block,endpoint,feature_set,feature,raw_feature,coef,abs_coef,feature_scope
primary,PFS_6m_restricted,clinical_plus_bio_sbp,num__bio__patient_cd14_score_mean,bio__patient_cd14_score_mean,1.1749623836648941e-07,1.1749623836648941e-07,immune
primary,PFS_6m_restricted,clinical_plus_bio_sbp,num__bio__LM_SBP_2part_ilr,bio__LM_SBP_2part_ilr,-1.1036072152168799e-07,1.1036072152168799e-07,immune
primary,PFS_6m_restricted,clinical_plus_bio_sbp,num__bio__patient_cd16_score_mean,bio__patient_cd16_score_mean,-9.698760260342102e-08,9.698760260342102e-08,immune
primary,PFS_6m_restricted,clinical_plus_bio_sbp,num__bio__patient_naive_score_mean,bio__patient_naive_score_mean,-7.97737328941775e-08,7.97737328941775e-08,immune
secondary,Binarized_response,clinical_plus_bio_sbp,cat__egfr_status_Wild-Type,egfr_status,12.016247749328613,12.016247749328613,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__sex_M,sex,-10.512446403503418,10.512446403503418,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__previous_target_Yes,previous_target,7.354638576507568,7.354638576507568,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__smoking_Never,smoking,-5.250707149505615,5.250707149505615,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__io_line_≥2nd line,io_line,-4.237170219421387,4.237170219421387,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__ecog_2,ecog,-3.4608471393585205,3.4608471393585205,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__ecog_1,ecog,-3.0632312297821045,3.0632312297821045,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__histology_LUSC,histology,-2.1117379665374756,2.1117379665374756,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__histology_others,histology,1.8289936780929565,1.8289936780929565,clinical
secondary,Binarized_response,clinical_plus_bio_sbp,cat__smoking_Ex,smoking,-0.5086473822593689,0.5086473822593689,clinical
