endpoint_name,endpoint_type,feature_name,feature_set,n_patients,status,roc_auc_mean,roc_auc_sd,auprc_mean,auprc_sd,brier_mean,brier_sd,baseline_roc_auc_mean,baseline_auprc_mean,baseline_brier_mean,delta_roc_auc_mean,delta_auprc_mean,delta_brier_mean,ranking_metric,full_data_coef,full_data_coef_sign,best_alpha,best_l1_ratio,full_inner_score
Binarized_response,binary,CD4T__curated_gene_hallmark_inflammatory_response__pc2,clinical_plus__CD4T__curated_gene_hallmark_inflammatory_response__pc2,65,ok,0.6199404761904762,0.14852753895050094,0.6120304861804862,0.1424734111840229,0.2626942796524094,0.06668768592935542,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.006571428571428561,-0.0062484755984756335,0.0028568747028174246,0.006571428571428561,0.22980865836143494,1.0,0.001,1.0,0.6974206349206349
Binarized_response,binary,CD4T__curated_gene_hallmark_interferon_alpha_response__pc2,clinical_plus__CD4T__curated_gene_hallmark_interferon_alpha_response__pc2,65,ok,0.608952380952381,0.17396092823866569,0.6096744940244939,0.15059755427675828,0.2702912668175026,0.08867259641497546,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.004416666666666624,-0.008604467754467882,0.010453861867910641,-0.004416666666666624,-0.7897379994392395,-1.0,0.001,0.25,0.6521825396825397
Binarized_response,binary,CD4T__curated_gene_hallmark_interferon_gamma_response__pc2,clinical_plus__CD4T__curated_gene_hallmark_interferon_gamma_response__pc2,65,ok,0.603345238095238,0.16429226731976462,0.6070471343471344,0.14429470970804936,0.2795595619168851,0.08548567453849634,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.010023809523809657,-0.01123182743182738,0.019722156967293125,-0.010023809523809657,0.4348292648792267,1.0,0.003,0.5,0.6658730158730158
Binarized_response,binary,CD4T__curated_gene_hallmark_mtorc1_signaling__pc2,clinical_plus__CD4T__curated_gene_hallmark_mtorc1_signaling__pc2,65,ok,0.6053452380952381,0.16693571621547426,0.5993179801679802,0.1480080498298638,0.2709219760555278,0.08464433533809852,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.008023809523809544,-0.018960981610981587,0.011084571105935859,-0.008023809523809544,0.0034906831569969654,1.0,0.003,0.25,0.6853174603174603
Binarized_response,binary,CD4T__curated_gene_hallmark_tnfa_signaling_via_nfkb__pc2,clinical_plus__CD4T__curated_gene_hallmark_tnfa_signaling_via_nfkb__pc2,65,ok,0.594095238095238,0.14027957077152536,0.5903136141636142,0.13725363011826583,0.275001396326069,0.06726374616397787,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.019273809523809637,-0.027965347615347635,0.01516399137647706,-0.019273809523809637,-0.24517115950584412,-1.0,0.001,0.25,0.6
Binarized_response,binary,CD4T__curated_gene_reactome_co_stimulation_by_cd28__pc2,clinical_plus__CD4T__curated_gene_reactome_co_stimulation_by_cd28__pc2,65,ok,0.613904761904762,0.164452078411181,0.61636105006105,0.14175628267217102,0.2694625786706151,0.08231347257502604,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.000535714285714306,-0.00191791171791178,0.009625173721023172,0.000535714285714306,-0.12259351462125778,-1.0,0.003,0.5,0.6962301587301586
Binarized_response,binary,CD4T__curated_gene_reactome_downstream_tcr_signaling__pc2,clinical_plus__CD4T__curated_gene_reactome_downstream_tcr_signaling__pc2,65,ok,0.6158333333333333,0.16050174010000867,0.6164674233174232,0.1471526505048272,0.2777873672915876,0.08597992509727566,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.0024642857142856966,-0.0018115384615385866,0.01794996234199564,0.0024642857142856966,-0.6467375755310059,-1.0,0.001,0.95,0.675
Binarized_response,binary,CD4T__curated_gene_reactome_interleukin_7_signaling__pc2,clinical_plus__CD4T__curated_gene_reactome_interleukin_7_signaling__pc2,65,ok,0.615952380952381,0.1543065364658144,0.6063332482332482,0.14317674733422692,0.2655239102952629,0.06995052616159146,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.002583333333333382,-0.01194571354571361,0.005686505345670945,0.002583333333333382,-0.2164728045463562,-1.0,0.001,0.5,0.7013888888888888
Binarized_response,binary,CD4T__curated_gene_reactome_signaling_by_interleukins__pc2,clinical_plus__CD4T__curated_gene_reactome_signaling_by_interleukins__pc2,65,ok,0.6100238095238095,0.1578163648708715,0.6076881248381248,0.14835035425534202,0.2697876004334351,0.08525286673520419,0.6133690476190476,0.6182789617789618,0.25983740494959195,-0.0033452380952381233,-0.010590836940836956,0.009950195483843127,-0.0033452380952381233,-0.10014532506465912,-1.0,0.003,0.25,0.6773809523809524
Binarized_response,binary,CD4T__curated_gene_reactome_tcr_signaling__pc2,clinical_plus__CD4T__curated_gene_reactome_tcr_signaling__pc2,65,ok,0.6161666666666666,0.15799348835309263,0.6187767047767048,0.1444287392801756,0.27758042779591674,0.0840831779498884,0.6133690476190476,0.6182789617789618,0.25983740494959195,0.0027976190476189933,0.000497742997742967,0.017743022846324785,0.0027976190476189933,-0.6040686964988708,-1.0,0.001,1.0,0.6668650793650794
